//******************************
// Texts for Big Map Campaigns
//******************************

// Resource Names

StratRes0	Нет ресурсов
#HERO_PR_7	Ф.Шарнхорст
#HERO_PR_8	HERO_PR_8_N
#HERO_PR_9	HERO_PR_9_N

#HERO_RS_0	Александр I
#HERO_RS_1	Кутузов
#HERO_RS_2	Аракчеев
#HERO_RS_3	Багратион
#HERO_RS_4	Васильчиков
#HERO_RS_5	Де-Толли
#HERO_RS_6	Уваров
#HERO_RS_7	Раевский
#HERO_RS_8	HERO_RS_8_N
#HERO_RS_9	HERO_RS_9_N

#HERO_EP_0	Мурад-бей
#HERO_EP_1	Ибрагим-бей
#HERO_EP_2	Абу-Бакр
#HERO_EP_3	Дзеззар-паша
#HERO_EP_4	Карим-паша
#HERO_EP_5	Ахмед-паша


#HERO_EP_6	Мурад-бей
#HERO_EP_7	Мурад-бей
#HERO_EP_8	HERO_EP_8_N
#HERO_EP_9	HERO_EP_9_N

// end of Commanders Data



///////////////////////////////////////
// CLICKS, MAIN HINTS, etc.

#CWM_Left_Click	Нажатие левой кнопкой мышки - выбор

#CWM_Right_Click_OnMap	Нажатие правой кнопки и перетаскивание - передвижение карты

#CWM_Left_Click_OnSqd	Нажатие левой кнопки - добавить один отряд
#CWM_Right_Click_OnSqd	Нажатие правой кнопки - распустить один отряд

_#CWM_Right_Click	Нажатие правой кнопки для выбора


//*************************************
//*************************************
//*************************************



///////////////////////////////////////
//	MISSION TEXT DATA
// Main Pages

#StratCheckZone	Захвачена стратегическая зона! %s
#StratCheckAdd	Осталось захватить: {CR}%d{C}.
#StratCheckOK	Захвачено необходимое количество стратегических точек.

#PlayerRetreat	%s! Поступило донесение о том, что армия противника отступила %s
#PlayerHRetreat	%s! Разведчики доложили, что вражеский гарнизон покидает сектор %s
#MT_ResFood	  в связи с нехваткой продовольствия. Это победа!
#MT_ResCoal	 в связи с нехваткой боеприпасов. Ура!


#CapturedRes	Солдаты захватили ресурсы - {CR}%d{C} единиц Еды, {CR}%d{C} единиц Золота и {CR}%d{C} единиц Угля. 


//rem info Все ваши войска получают {CR}+30 единиц опыта{C}

#AddExp2SQ1	%s! Вера в победу невероятно высока среди ваших войск!\(ваши войска получают {CR}+30 единиц опыта{C})
#AddExp2SQ2	%s! ваши войска вдохновлены вашей речью! Солдаты рвутся в бой!\(Все ваши войска получают {CR}+30 единиц опыта{C})
#AddExp2SQ3	%s! Ваши солдаты обучились новым приемам ведения боя.
Они уверены в победе!\(ваши войска получают {CR}+30 единиц опыта{C})


//rem info All your troops {CR}+10{C} к Kills'am (experience) - рандом за села-квесты

#AddLowExp2SQ1	Вера наших солдат в победу невероятно высока!\(ваши войска получают {CR}+10 единиц опыта{C})
#AddLowExp2SQ2	Солдаты мастерски провели этот бой.\(ваши войска получают {CR}+10 единиц опыта{C})
#AddLowExp2SQ3	После удачной операции вера наших солдат в победу стала еще больше! \(ваши войска получают {CR}+10 единиц опыта{C})


//rem info В связи с чем-то плохим, боевой дух вражеского гарнизона падает до 33. Хорошие шансы для быстрой атаки! поторопитесь!

#DownMorale2SQ1	%s! Из-за эпидемии боевой дух врага сильно уменьшился!\Прекрасная возможность для молниеносной атаки! Не упустите ее!\({CR}Боевой дух вражеских войск = 33{C})
#DownMorale2SQ2	%s! Вражеские войска не были готовы к бою! Ваш противник деморализован! ({CR}боевой дух вражеских войск =33{C})\Прекрасный шанс одержать легкую победу! Не теряйте времени!
#DownMorale2SQ3	%s! Вражеские солдаты деморализованы! Они не верят в свою победу! ({CR}боевой дух вражеских войск =33{C})\Их весьма легко победить! Не упускайте ваш шанс!




#PlayerLooseSquads Все ваши отряды побеждены!
#EnemyLooseSquads	Все вражеские отряды побеждены!

#RebelDefeat1	Войска сокрушила основные силы повстанцев, а остальная часть повстанческих войск сложила оружие! Мятеж был подавлен.
#RebelDefeat2	Войска захватили большую часть поселений в этом секторе, сломив боевой дух повстанцев! Мятежники сложили оружие и вернулись в свои дома. Мятеж был подавлен. 

#GetDefenderRes	Ресурсы добываемые этим поселением переходят в ваше распоряжение (%s).

Traps_mess	В обозах побежденного врага ваши солдаты обнаружили немного ресурсов(%s).


-----

#GetTribe0	Солдаты, обыскав склад захваченного поселения, нашли ресурсы. - {CR}%d{C} %s.


//#GetTribe1	За кованными дверьми складов солдаты нашли спрятанные ресурсы - {CR}%d{C} %s.
//#GetTribe2	Селяне с радостью предоставили солдатам ресурсы с деревенских складов - {CR}%d{C} %s.
//#GetTribe3	Солдаты захватили в деревне трофеи - {CR}%d{C} %s.
//#GetTribe4	Солдаты захватили в деревне трофеи - {CR}%d{C} %s.

//#GETTRIBES	После тщательного осмотра захваченного поселения ваши солдаты нашли - {CR}%d{C} %s.


The End.   
***************************************
***************************************
